what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.enablement.oda.xml,1.2.0.v200907061455,"org.eclipse.datatools.enablement.oda.xml",1350852658954
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.1.0.v20090525,"org.eclipse.jst.jsf.apache.trinidad.tagsupport",1350852658955
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.1.5.v20090902,"org.eclipse.jst.jsf.facesconfig.ui",1350852658956
stopped,bundle,org.eclipse.jst.jsf.ui,1.2.1.v20090827,"org.eclipse.jst.jsf.ui",1350852658957
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.1.3.v20090827,"org.eclipse.jst.pagedesigner.jsf.ui",1350852658957
stopped,bundle,org.eclipse.jst.pagedesigner,1.2.2.v20090903,"org.eclipse.jst.pagedesigner",1350852658958
stopped,bundle,org.eclipse.jst.jsf.core,1.2.2.v20090903,"org.eclipse.jst.jsf.core",1350852658958
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.1.1.v20081209,"org.eclipse.jst.jsf.common.ui",1350852658959
stopped,bundle,org.eclipse.jst.jsf.standard.tagsupport,1.1.204.v20090903,"org.eclipse.jst.jsf.standard.tagsupport",1350852658960
stopped,bundle,org.eclipse.jst.pagedesigner.jsp.core,1.1.2.v20090601,"org.eclipse.jst.pagedesigner.jsp.core",1350852658969
stopped,bundle,org.eclipse.jst.jsf.common,1.1.7.v20090903,"org.eclipse.jst.jsf.common",1350852658969
stopped,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.200.v200904140255,"org.eclipse.wst.jsdt.web.support.jsp",1350852658970
stopped,bundle,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.ui",1350852658971
stopped,bundle,org.eclipse.jst.jsp.core,1.2.203.v200908241513,"org.eclipse.jst.jsp.core",1350852658972
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.200.v200904230847,"org.eclipse.wst.jsdt.web.ui",1350852658977
stopped,bundle,org.eclipse.jpt.eclipselink.ui,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.ui",1350852658988
stopped,bundle,org.eclipse.jpt.ui,2.2.1.v200909020220,"org.eclipse.jpt.ui",1350852658989
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.102.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.ui",1350852659049
